ID	NS	OS	Phylum	Class	Genus	Dissimilarity
OTU_706	0	0.062351022	 Bacteroidetes	Others	 Unassigned	0.051283526
OTU_789	0	0.062351022	Others	Others	 Unassigned	0.051283526
OTU_769	0	0.062351022	Others	Others	Unassigned	0.051283526
OTU_392	0	0.062351022	 Planctomycetes	Others	 SM1A02	0.051283526
OTU_544	0	0.062351022	Others	Others	 Gemmatimonas	0.051283526
OTU_3827	0	0.062351022	 Bacteroidetes	Others	 Chryseolinea	0.051283526
OTU_711	0	0.062351022	Others	Others	 Unassigned	0.051283526
OTU_3778	0	0.062351022	 Bacteroidetes	Others	 Unassigned	0.051283526
OTU_148	0	0.062351022	 Proteobacteria	 Alphaproteobacteria	 Paracoccus	0.051283526
OTU_265	0.031171574	0.053999843	 Bacteroidetes	Others	 Unassigned	0.0468188
OTU_300	0	0.062351022	 Bacteroidetes	Others	 Unassigned	0.051283526
OTU_313	0	0.062351022	Others	Others	 Unassigned	0.051283526
OTU_505	0	0.062351022	 Proteobacteria	Others	 Unassigned	0.051283526
OTU_520	0	0.062351022	 Planctomycetes	Others	 SM1A02	0.051283526
OTU_1479	0	0.062351022	 Firmicutes	Others	 Anaerococcus	0.051283526
OTU_611	0.044083251	0.04409441	 Proteobacteria	 Betaproteobacteria	Unassigned	0.0468188
OTU_958	0	0.062351022	 Proteobacteria	 Alphaproteobacteria	 Reyranella	0.051283526
OTU_423	0.031171574	0.053999843	 Proteobacteria	Others	 Unassigned	0.0468188
OTU_1074	0	0.062351022	 Proteobacteria	 Gammaproteobacteria	 Candidatus_Competibacter	0.051283526
OTU_715	0	0.062351022	Others	Others	 Unassigned	0.051283526
OTU_1244	0	0.062351022	 Proteobacteria	 Betaproteobacteria	Unassigned	0.051283526
OTU_547	0	0.062351022	 Proteobacteria	Others	 OM27_clade	0.051283526
OTU_3455	0.054004324	0	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_1559	0	0.054004324	 Firmicutes	Others	 Ezakiella	0.044418465
OTU_642	0	0.054004324	 Proteobacteria	Others	 OM27_clade	0.044418465
OTU_1290	0.054004324	0	 Firmicutes	Others	 Erysipelotrichaceae_UCG-003	0.044418465
OTU_1529	0.054004324	0	 Firmicutes	Others	 Turicibacter	0.044418465
OTU_3614	0.054004324	0	 Firmicutes	Others	 Blautia	0.044418465
OTU_819	0.054004324	0	 Bacteroidetes	Others	 Bacteroides	0.044418465
OTU_1289	0.054004324	0	 Firmicutes	 Bacilli	 Pediococcus	0.044418465
OTU_3583	0.054004324	0	 Proteobacteria	 Alphaproteobacteria	Unassigned	0.044418465
OTU_3604	0.054004324	0	 Bacteroidetes	Others	 Alistipes	0.044418465
OTU_1775	0	0.054004324	 Firmicutes	Others	 Peptoniphilus	0.044418465
OTU_951	0	0.054004324	 Planctomycetes	Others	 SM1A02	0.044418465
OTU_3370	0.054004324	0	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_3603	0.054004324	0	Others	Others	 Unassigned	0.044418465
OTU_2579	0.054004324	0	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_3593	0.054004324	0	 Firmicutes	Others	 Unassigned	0.044418465
OTU_2562	0.054004324	0	 Firmicutes	Others	 Ruminococcaceae_UCG-005	0.044418465
OTU_2943	0.054004324	0	Others	Others	 Unassigned	0.044418465
OTU_1982	0.054004324	0	 Bacteroidetes	Others	 Prevotellaceae_UCG-001	0.044418465
OTU_558	0	0.054004324	Others	Others	Unassigned	0.044418465
OTU_1296	0	0.054004324	Others	Others	 Unassigned	0.044418465
OTU_1200	0	0.054004324	 Bacteroidetes	Others	Unassigned	0.044418465
OTU_918	0	0.054004324	 Bacteroidetes	Others	 Unassigned	0.044418465
OTU_4083	0	0.054004324	 Proteobacteria	 Alphaproteobacteria	 Candidatus_Alysiosphaera	0.044418465
OTU_318	0	0.053999843	 Actinobacteria	 Actinobacteria	Unassigned	0.044418465
