ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	All	Asia	North_America	South_America
ASV_327	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Unassigned	0.0541	0.009410558	0.024849720	0.097267952
ASV_509	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Unassigned	0.043587	0.03324180	0.04480594	0.04533169
ASV_437	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Unassigned	0.027162	0.01888375	0.02336279	0.03348634
ASV_259	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.047063	0.05096385	0.03792303	0.05536435
ASV_1089	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Unassigned	0.026204	0.02077833	0.02604694	0.02794217
ASV_700	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.024014	0.02670587	0.02588237	0.02130426
ASV_337	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	Quadrisphaera_sp.	0.027661	0.02385394	0.02725220	0.02918757
ASV_19	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	2.205044	3.312834	2.327770	1.756743
ASV_20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	2.114425	3.183789	2.222050	1.692867
ASV_31	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	1.243356	1.8886160	1.3255431	0.9711836
ASV_32	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Unassigned	1.210978	1.8139759	1.2866521	0.9577994
ASV_38	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.872295	0.6045547	0.7978707	1.0268517
ASV_40	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.884355	0.6327059	0.7947348	1.0499259
ASV_77	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unassigned	0.739168	0.08000551	1.35111042	0.29885552
ASV_84	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unassigned	0.618238	0.06433987	1.13427075	0.24636869
ASV_89	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unassigned	0.558875	0.06978011	1.00508755	0.24026297
ASV_58	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.513771	0.3700916	0.4481973	0.6231732
ASV_66	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Unassigned	0.604997	0.6548847	0.5896225	0.6063844
ASV_63	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.475907	0.4164712	0.3961818	0.5754592
ASV_70	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Unassigned	0.549327	0.6174750	0.5442781	0.5347544
ASV_113	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unassigned	0.372475	0.03729051	0.68432144	0.14788035
ASV_126	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Unassigned	0.312938	0.03099342	0.57936334	0.11977279
ASV_81	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Unassigned	0.384141	2.2674866	0.1058360	0.1246457
ASV_100	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Unassigned	0.325863	0.3801735	0.3120053	0.3243994
ASV_99	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Unassigned	0.321025	0.8048144	0.2309509	0.2735489
ASV_101	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Unassigned	0.180607	0.2281006	0.1452427	0.2033241
ASV_64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	Unassigned	0.297951	0.2439001	0.3043000	0.3070902
